id,Name,MedianIncomeDollars
0500000US08079,"Mineral County, Colorado",61058
0500000US08081,"Moffat County, Colorado",52807
0500000US08083,"Montezuma County, Colorado",46797
0500000US08085,"Montrose County, Colorado",48739
0500000US08087,"Morgan County, Colorado",51626
0500000US08089,"Otero County, Colorado",34136
0500000US08091,"Ouray County, Colorado",62230
0500000US08093,"Park County, Colorado",66861
0500000US08095,"Phillips County, Colorado",50724
0500000US08097,"Pitkin County, Colorado",71244
0500000US08099,"Prowers County, Colorado",40097
0500000US08101,"Pueblo County, Colorado",44634
0500000US08103,"Rio Blanco County, Colorado",55543
0500000US08105,"Rio Grande County, Colorado",38639
0500000US08107,"Routt County, Colorado",74273
0500000US08109,"Saguache County, Colorado",34410
0500000US08111,"San Juan County, Colorado",46563
0500000US08113,"San Miguel County, Colorado",64478
0500000US08115,"Sedgwick County, Colorado",45188
0500000US08117,"Summit County, Colorado",77589
0500000US08119,"Teller County, Colorado",65382
0500000US08121,"Washington County, Colorado",49375
0500000US08123,"Weld County, Colorado",70908
0500000US08125,"Yuma County, Colorado",48394
0500000US09001,"Fairfield County, Connecticut",92969
0500000US09003,"Hartford County, Connecticut",72321
0500000US09005,"Litchfield County, Connecticut",78314
0500000US09007,"Middlesex County, Connecticut",84761
0500000US09009,"New Haven County, Connecticut",67128
0500000US09011,"New London County, Connecticut",71368
0500000US09013,"Tolland County, Connecticut",84916
0500000US09015,"Windham County, Connecticut",64774
0500000US10001,"Kent County, Delaware",58775
0500000US10003,"New Castle County, Delaware",70996
0500000US10005,"Sussex County, Delaware",60853
0500000US11001,"District of Columbia, District of Columbia",82604
0500000US12001,"Alachua County, Florida",49078
0500000US12003,"Baker County, Florida",61769
0500000US12005,"Bay County, Florida",51829
0500000US12007,"Bradford County, Florida",46197
0500000US12009,"Brevard County, Florida",54359
0500000US12011,"Broward County, Florida",57333
0500000US12013,"Calhoun County, Florida",38609
0500000US12015,"Charlotte County, Florida",49225
0500000US12017,"Citrus County, Florida",41424
0500000US12019,"Clay County, Florida",62653
0500000US12021,"Collier County, Florida",65675
0500000US12023,"Columbia County, Florida",44491
0500000US12027,"DeSoto County, Florida",35057
0500000US12029,"Dixie County, Florida",38237
0500000US12031,"Duval County, Florida",53473
0500000US12033,"Escambia County, Florida",49286
0500000US12035,"Flagler County, Florida",53872
0500000US12037,"Franklin County, Florida",42855
0500000US12039,"Gadsden County, Florida",40922
0500000US12041,"Gilchrist County, Florida",42357
0500000US12043,"Glades County, Florida",39879
0500000US12045,"Gulf County, Florida",44291
0500000US12047,"Hamilton County, Florida",34583
0500000US12049,"Hardee County, Florida",37594
0500000US12051,"Hendry County, Florida",40728
0500000US12053,"Hernando County, Florida",46030
0500000US12055,"Highlands County, Florida",37314
0500000US12057,"Hillsborough County, Florida",56137
0500000US12059,"Holmes County, Florida",38608
0500000US12061,"Indian River County, Florida",52336
0500000US12063,"Jackson County, Florida",39002
0500000US12065,"Jefferson County, Florida",48173
0500000US12067,"Lafayette County, Florida",39543
0500000US12069,"Lake County, Florida",51884
0500000US12071,"Lee County, Florida",54691
0500000US12073,"Leon County, Florida",51201
0500000US12075,"Levy County, Florida",37634
0500000US12077,"Liberty County, Florida",37363
0500000US12079,"Madison County, Florida",35509
0500000US12081,"Manatee County, Florida",56036
0500000US12083,"Marion County, Florida",43361
0500000US12085,"Martin County, Florida",57959
0500000US12086,"Miami-Dade County, Florida",48982
0500000US12087,"Monroe County, Florida",67023
0500000US12089,"Nassau County, Florida",66297
0500000US12091,"Okaloosa County, Florida",62048
0500000US12093,"Okeechobee County, Florida",40367
0500000US12095,"Orange County, Florida",54335
0500000US12097,"Osceola County, Florida",50063
0500000US12099,"Palm Beach County, Florida",59943
0500000US12101,"Pasco County, Florida",50417
0500000US12103,"Pinellas County, Florida",51454
0500000US12105,"Polk County, Florida",48500
0500000US12107,"Putnam County, Florida",35649
0500000US12109,"St. Johns County, Florida",77323
0500000US12111,"St. Lucie County, Florida",49373
0500000US12113,"Santa Rosa County, Florida",66242
0500000US12115,"Sarasota County, Florida",58644
0500000US12117,"Seminole County, Florida",63760
0500000US12119,"Sumter County, Florida",55228
0500000US12121,"Suwannee County, Florida",42686
0500000US12123,"Taylor County, Florida",36934
0500000US12125,"Union County, Florida",41770
0500000US12127,"Volusia County, Florida",46760
